mode,band_index,wavelength_nm,denominator_mean,denominator_std,denominator_min,denominator_q01,denominator_q05,denominator_nonpositive_fraction,denominator_below_floor_fraction,snr_proxy,low_snr,white_max,dark_max,white_at_dtype_max_fraction,dark_at_dtype_max_fraction,retained
200,155,1891.33,16189.484375,591.668451082073,14707.0,14821.57,15191.85,0.0,0.0,27.362426280109794,False,20891.0,3898.0,0.0,0.0,True
200,156,1897.61,15458.659375,593.2511321941236,14043.0,14287.31,14519.85,0.0,0.0,26.05753033766077,False,21196.0,4005.0,0.0,0.0,True
200,157,1903.9,14506.43125,490.908941682098,13243.0,13444.27,13684.9,0.0,0.0,29.550146714161954,False,20090.0,4218.0,0.0,0.0,True
200,158,1910.19,13623.665625,447.3438597078979,12339.0,12614.54,12855.95,0.0,0.0,30.454571644049867,False,19088.0,3813.0,0.0,0.0,True
200,159,1916.47,13235.878125,370.9862373073756,12210.0,12275.12,12486.75,0.0,0.0,35.677544862758765,False,17697.0,4171.0,0.0,0.0,True
200,160,1922.76,12786.734375,351.0802366530468,11811.0,11856.47,12077.6,0.0,0.0,36.42111699849509,False,17064.0,3784.0,0.0,0.0,True
200,161,1929.04,12458.2875,330.8461006929808,11353.0,11471.6,11766.65,0.0,0.0,37.65583899554865,False,16655.0,3803.0,0.0,0.0,True
200,162,1935.33,12286.603125,321.971430200312,11165.0,11389.42,11547.7,0.0,0.0,38.16053839732285,False,16425.0,4037.0,0.0,0.0,True
200,163,1941.61,12030.796875,318.37541616028454,11005.0,11172.0,11421.9,0.0,0.0,37.78808370349523,False,17961.0,4098.0,0.0,0.0,True
200,164,1947.9,11843.04375,319.2150499051345,10880.0,11049.04,11294.0,0.0,0.0,37.100518141358066,False,17309.0,3818.0,0.0,0.0,True
200,165,1954.18,11646.0625,278.49337262087585,10884.0,10972.09,11157.8,0.0,0.0,41.81809567100258,False,17331.0,3886.0,0.0,0.0,True
200,166,1960.46,11413.025,258.2607318680097,10709.0,10860.37,10953.95,0.0,0.0,44.1918712049219,False,15527.0,3829.0,0.0,0.0,True
200,167,1966.75,11168.5,268.67986294101013,10435.0,10588.76,10726.75,0.0,0.0,41.56805753043,False,15329.0,3808.0,0.0,0.0,True
200,168,1973.03,10926.253125,308.65927056016704,10281.0,10341.57,10442.25,0.0,0.0,35.39907648058186,False,16461.0,4478.0,0.0,0.0,True
200,169,1979.31,10619.16875,325.81103077311167,9961.0,10016.56,10140.3,0.0,0.0,32.59303015248414,False,16052.0,3895.0,0.0,0.0,True
200,170,1985.6,10241.25,316.26920890279536,9652.0,9666.57,9776.5,0.0,0.0,32.38143237379644,False,15208.0,3877.0,0.0,0.0,True
