priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,repeat_a,repeat_b,value,undefined_reason,used_clusters,degeneracy_flags
3,ARI,,ari,ARI,A0,condition,4,KYOw02764,2,1,3,0.1463281214237213,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02764,2,2,3,0.1446932554244995,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02766,1,1,2,0.05254111438989639,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02766,1,1,3,0.7357772588729858,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02766,1,2,3,0.08243443071842194,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02767,5,1,2,0.3021988570690155,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02767,5,1,3,0.22413180768489838,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02767,5,2,3,0.20605529844760895,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02768,4,1,2,0.29992106556892395,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02768,4,1,3,0.2870415449142456,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02768,4,2,3,0.46729859709739685,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02769,1,1,2,0.029093652963638306,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02769,1,1,3,0.6199297904968262,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02769,1,2,3,0.08719170838594437,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02770,2,1,2,0.8970504999160767,,"[4, 4]",[]
3,ARI,,ari,ARI,A0,condition,4,KYOw02770,2,1,3,0.2719908654689789,,"[4, 4]",[]
