condition,pc1,pc2,pixels
B0,-0.39894947599032426,0.05852750490721048,93
B0,-0.39894947599032426,0.10021340557333447,111
B0,-0.39894947599032426,0.14189930623945846,165
B0,-0.39894947599032426,0.18358520690558255,95
B0,-0.39894947599032426,0.22527110757170643,4
B0,-0.37512896127632667,-0.14990199842340957,27
B0,-0.37512896127632667,-0.10821609775728558,46
B0,-0.37512896127632667,-0.06653019709116148,80
B0,-0.37512896127632667,-0.024844296425037493,113
B0,-0.37512896127632667,0.016841604241086494,82
B0,-0.37512896127632667,0.05852750490721048,118
B0,-0.37512896127632667,0.10021340557333447,106
B0,-0.37512896127632667,0.14189930623945846,172
B0,-0.37512896127632667,0.18358520690558255,71
B0,-0.37512896127632667,0.22527110757170643,3
B0,-0.35130844656232907,-0.19158789908953355,2
B0,-0.35130844656232907,-0.14990199842340957,18
B0,-0.35130844656232907,-0.10821609775728558,48
B0,-0.35130844656232907,-0.06653019709116148,80
B0,-0.35130844656232907,-0.024844296425037493,149
B0,-0.35130844656232907,0.016841604241086494,135
B0,-0.35130844656232907,0.05852750490721048,132
B0,-0.35130844656232907,0.10021340557333447,113
B0,-0.35130844656232907,0.14189930623945846,225
B0,-0.35130844656232907,0.18358520690558255,49
B0,-0.35130844656232907,0.22527110757170643,3
B0,-0.32748793184833147,-0.19158789908953355,3
B0,-0.32748793184833147,-0.14990199842340957,24
B0,-0.32748793184833147,-0.10821609775728558,66
B0,-0.32748793184833147,-0.06653019709116148,87
B0,-0.32748793184833147,-0.024844296425037493,142
B0,-0.32748793184833147,0.016841604241086494,180
B0,-0.32748793184833147,0.05852750490721048,150
B0,-0.32748793184833147,0.10021340557333447,131
B0,-0.32748793184833147,0.14189930623945846,214
B0,-0.32748793184833147,0.18358520690558255,41
B0,-0.32748793184833147,0.26695700823783053,1
B0,-0.3036674171343339,-0.19158789908953355,2
B0,-0.3036674171343339,-0.14990199842340957,10
B0,-0.3036674171343339,-0.10821609775728558,93
B0,-0.3036674171343339,-0.06653019709116148,130
B0,-0.3036674171343339,-0.024844296425037493,178
B0,-0.3036674171343339,0.016841604241086494,225
B0,-0.3036674171343339,0.05852750490721048,168
B0,-0.3036674171343339,0.10021340557333447,123
B0,-0.3036674171343339,0.14189930623945846,223
B0,-0.3036674171343339,0.18358520690558255,33
B0,-0.2798469024203363,-0.19158789908953355,1
B0,-0.2798469024203363,-0.14990199842340957,20
B0,-0.2798469024203363,-0.10821609775728558,94
B0,-0.2798469024203363,-0.06653019709116148,155
B0,-0.2798469024203363,-0.024844296425037493,202
B0,-0.2798469024203363,0.016841604241086494,279
B0,-0.2798469024203363,0.05852750490721048,207
B0,-0.2798469024203363,0.10021340557333447,130
B0,-0.2798469024203363,0.14189930623945846,145
B0,-0.2798469024203363,0.18358520690558255,17
B0,-0.2560263877063387,-0.14990199842340957,9
B0,-0.2560263877063387,-0.10821609775728558,96
B0,-0.2560263877063387,-0.06653019709116148,182
B0,-0.2560263877063387,-0.024844296425037493,280
B0,-0.2560263877063387,0.016841604241086494,348
B0,-0.2560263877063387,0.05852750490721048,224
B0,-0.2560263877063387,0.10021340557333447,107
B0,-0.2560263877063387,0.14189930623945846,112
B0,-0.2560263877063387,0.18358520690558255,11
B0,-0.23220587299234108,-0.23327379975565754,1
B0,-0.23220587299234108,-0.19158789908953355,1
B0,-0.23220587299234108,-0.14990199842340957,12
B0,-0.23220587299234108,-0.10821609775728558,106
B0,-0.23220587299234108,-0.06653019709116148,256
B0,-0.23220587299234108,-0.024844296425037493,355
B0,-0.23220587299234108,0.016841604241086494,515
B0,-0.23220587299234108,0.05852750490721048,272
B0,-0.23220587299234108,0.10021340557333447,93
B0,-0.23220587299234108,0.14189930623945846,83
B0,-0.23220587299234108,0.18358520690558255,10
B0,-0.20838535827834348,-0.2749597004217815,1
B0,-0.20838535827834348,-0.19158789908953355,2
B0,-0.20838535827834348,-0.14990199842340957,9
B0,-0.20838535827834348,-0.10821609775728558,84
B0,-0.20838535827834348,-0.06653019709116148,310
B0,-0.20838535827834348,-0.024844296425037493,364
B0,-0.20838535827834348,0.016841604241086494,576
B0,-0.20838535827834348,0.05852750490721048,317
B0,-0.20838535827834348,0.10021340557333447,98
B0,-0.20838535827834348,0.14189930623945846,49
B0,-0.20838535827834348,0.18358520690558255,13
B0,-0.18456484356434577,-0.19158789908953355,1
B0,-0.18456484356434577,-0.14990199842340957,6
B0,-0.18456484356434577,-0.10821609775728558,67
B0,-0.18456484356434577,-0.06653019709116148,357
B0,-0.18456484356434577,-0.024844296425037493,525
B0,-0.18456484356434577,0.016841604241086494,714
B0,-0.18456484356434577,0.05852750490721048,385
B0,-0.18456484356434577,0.10021340557333447,119
B0,-0.18456484356434577,0.14189930623945846,39
B0,-0.18456484356434577,0.18358520690558255,21
B0,-0.18456484356434577,0.22527110757170643,1
B0,-0.16074432885034828,-0.14990199842340957,5
B0,-0.16074432885034828,-0.10821609775728558,65
B0,-0.16074432885034828,-0.06653019709116148,416
B0,-0.16074432885034828,-0.024844296425037493,711
B0,-0.16074432885034828,0.016841604241086494,820
B0,-0.16074432885034828,0.05852750490721048,399
B0,-0.16074432885034828,0.10021340557333447,126
B0,-0.16074432885034828,0.14189930623945846,44
B0,-0.16074432885034828,0.18358520690558255,19
B0,-0.16074432885034828,0.22527110757170643,1
B0,-0.13692381413635069,-0.14990199842340957,3
B0,-0.13692381413635069,-0.10821609775728558,92
B0,-0.13692381413635069,-0.06653019709116148,506
